Weather Type,Temperature,Start_destination,End_destination,Total Distance,Ticket Cost,Airlines Name
Rainy,30,Greenville - Spartanburg International Airport (Roger Milliken Field),Wiley Post - Will Rogers Memorial Airport,742,389,Cape Air
Sunny,35,Joe Foss Field,Ithaca Tompkins International Airport,533,321,American Airlines
Windy,21,Piedmont Triad International Airport,MBS International Airport,526,231,Hawaiian Airlines
Sunny,36,Page Municipal Airport,LaGuardia Airport (and Marine Air Terminal),492,120,SkyWest Airlines
Windy,18,Lawton - Fort Sill Regional Airport,Lafayette Regional Airport (Paul Fournet Field),395,166,Allegiant Air
Cloudy,33,North Central West Virginia Airport (was Harrison-Marion Regional),James M. Cox Dayton International Airport,888,325,Horizon Air
Cloudy,32,Eugene F. Kranz Toledo Express Airport,Jack Brooks Regional Airport (was Southeast Texas Regional),339,184,Republic Airways
Cloudy,30,John Wayne Airport (was Orange County Airport),Lanai Airport,479,170,PSA Airlines
Rainy,30,Cyril E. King Airport,Casper - Natrona County International Airport,353,176,Air Wisconsin
Sunny,37,Merle K. (Mudhole) Smith Airport,Jackson - Medgar Wiley Evers International Airport,580,343,CommutAir
Cloudy,33,Sitka Rocky Gutierrez Airport,Charleston International Airport / Charleston AFB,778,265,CommutAir
Snow Fall,-1,Dothan Regional Airport,Oakland International Airport,548,293,SkyWest Airlines
Sunny,39,Westchester County Airport,Yellowstone Regional Airport,781,308,Silver Airways
Cloudy,34,Canyonlands Regional Airport,Bethel Airport (also see Bethel Seaplane Base),868,316,Southwest Airlines
Snow Fall,-4,Portland International Jetport,Pangborn Memorial Airport,807,372,Envoy Air
Windy,15,King County International Airport (Boeing Field),Baton Rouge Metropolitan Airport (Ryan Field),976,309,Cape Air
Sunny,35,Jackson Hole Airport,Newport News/Williamsburg International Airport (Patrick Henry Field),631,356,American Airlines
Rainy,30,New York Stewart International Airport,Nashville International Airport (Berry Field),336,150,Breeze Airways
Windy,20,Roswell Air Center,Kearney Regional Airport (was Kearney Municipal),750,341,Sun Country Airlines
Cloudy,33,Pullman - Moscow Regional Airport,Capital Region International Airport (was Lansing Capital City),345,159,Piedmont Airlines
Rainy,29,Fairbanks International Airport,Redding Municipal Airport,438,164,Alaska Airlines
Sunny,36,Delta County Airport,Newport News/Williamsburg International Airport (Patrick Henry Field),809,262,CommutAir
Sunny,37,Elko Regional Airport (J.C. Harris Field),Columbus Airport,374,200,Elite Airways
Cloudy,33,University Park Airport,Grand Junction Regional Airport (Walker Field),401,163,SkyWest Airlines
Sunny,35,Asheville Regional Airport,Tri-State Airport (Milton J. Ferguson Field),694,330,PSA Airlines
Rainy,29,Idaho Falls Regional Airport (Fanning Field),Juneau International Airport,798,322,Sun Country Airlines
Rainy,30,Palm Springs International Airport,Norfolk International Airport,301,102,Alaska Airlines
Rainy,27,Cherry Capital Airport (was Cherry County Airpark),Concord-Padgett Regional Airport,888,359,Allegiant Air
Snow Fall,3,Columbus Airport,Rochester International Airport,373,162,United Airlines
Snow Fall,-2,Grand Junction Regional Airport (Walker Field),San Francisco International Airport,880,300,Hawaiian Airlines
Windy,23,Yakutat Airport (also see Yakutat Seaplane Base),Elko Regional Airport (J.C. Harris Field),464,122,Eastern Airlines
Rainy,28,Lehigh Valley International Airport (was Allentown - Bethlehem - Easton International Airport),Bangor International Airport,510,377,Air Wisconsin
Snow Fall,0,Ellison Onizuka Kona International Airport at Keahole,Dillingham Airport,713,306,Piedmont Airlines
Cloudy,35,Montgomery Regional Airport (Dannelly Field),Fort Lauderdale - Hollywood International Airport,622,281,Allegiant Air
Sunny,35,Benjamín Rivera Noriega Airport,Santa Fe Municipal Airport,886,285,Frontier Airlines
Cloudy,33,University of Illinois - Willard Airport,Friedman Memorial Airport,784,370,American Airlines
Windy,25,Raleigh - Durham International Airport,Portland International Jetport,462,135,Hawaiian Airlines
Cloudy,33,Bangor International Airport,Newport News/Williamsburg International Airport (Patrick Henry Field),715,205,Air Wisconsin
Windy,22,Mobile Regional Airport,Gulfport - Biloxi International Airport,851,212,Horizon Air
Cloudy,35,Provo Municipal Airport,Louis Armstrong New Orleans International Airport,601,210,United Airlines
Windy,25,Raleigh - Durham International Airport,Shreveport Regional Airport,597,362,Piedmont Airlines
Snow Fall,-5,Quad City International Airport,Pangborn Memorial Airport,410,194,JetBlue
Sunny,37,Hays Regional Airport,Eagle County Regional Airport,527,260,Air Wisconsin
Cloudy,33,Augusta Regional Airport (Bush Field),Ellison Onizuka Kona International Airport at Keahole,465,161,PSA Airlines
Rainy,25,Myrtle Beach International Airport,General Downing-Peoria International Airport,761,276,GoJet Airlines
Cloudy,32,Waterloo Regional Airport,Santa Fe Municipal Airport,430,182,Elite Airways
Snow Fall,-9,Tweed-New Haven Airport,Central Wisconsin Airport,376,197,Avelo Airlines
Windy,24,José Aponte de la Torre Airport,Salina Regional Airport,606,294,SkyWest Airlines
Snow Fall,-5,Plattsburgh International Airport,Wiley Post - Will Rogers Memorial Airport,925,397,Elite Airways
Sunny,38,Fresno Yosemite International Airport,Punta Gorda Airport,849,365,Endeavor Air
Sunny,36,City of Colorado Springs Municipal Airport,William P. Hobby Airport,936,360,American Airlines
Snow Fall,-5,Yakima Air Terminal (McAllister Field),Portland International Jetport,693,357,Republic Airways
Snow Fall,-3,Detroit Metro Wayne County Airport,Cyril E. King Airport,703,393,GoJet Airlines
Windy,23,Missoula Montana Airport (was Missoula International Airport),Trenton Mercer Airport,680,337,Cape Air
Windy,23,New York Stewart International Airport,Greenville - Spartanburg International Airport (Roger Milliken Field),631,324,Cape Air
Windy,22,General Downing-Peoria International Airport,Gainesville Regional Airport,585,267,Frontier Airlines
Windy,18,Rickenbacker International Airport,Phoenix Sky Harbor International Airport,517,233,JetBlue
Rainy,29,Gerald R. Ford International Airport,Antonio B. Won Pat International Airport,839,297,Elite Airways
Cloudy,35,Chippewa County International Airport,Wilmington Airport,968,289,United Airlines
Cloudy,30,King Salmon Airport,Chippewa County International Airport,323,119,Republic Airways
Cloudy,32,Ellison Onizuka Kona International Airport at Keahole,North Central West Virginia Airport (was Harrison-Marion Regional),425,148,Sun Country Airlines
Snow Fall,-2,Hilton Head Airport,Bishop International Airport,534,211,Republic Airways
Windy,17,José Aponte de la Torre Airport,Benjamín Rivera Noriega Airport,944,324,Spirit Airlines
Snow Fall,2,University Park Airport,Gerald R. Ford International Airport,419,138,SkyWest Airlines
Sunny,38,Corpus Christi International Airport,Sawyer International Airport,738,224,CommutAir
Windy,22,Orlando International Airport,Yuma International Airport / MCAS Yuma,923,201,United Airlines
Sunny,38,Yeager Airport,Raleigh - Durham International Airport,412,112,United Airlines
Cloudy,30,Juneau International Airport,Birmingham - Shuttlesworth International Airport,489,167,GoJet Airlines
Sunny,38,Benjamín Rivera Noriega Airport,Orlando International Airport,812,382,Endeavor Air
Cloudy,32,Casper - Natrona County International Airport,Luis Muñoz Marín International Airport,630,392,Delta Air Lines
Rainy,28,General Downing-Peoria International Airport,McGhee Tyson Airport,378,131,United Airlines
Snow Fall,-2,Blue Grass Airport,Orcas Island Airport,524,210,Horizon Air
Sunny,39,Denver International Airport,Tri-Cities Airport,617,273,Frontier Airlines
Cloudy,30,Muskegon County Airport,Santa Maria Public Airport (Capt G. Allan Hancock Field),854,276,Frontier Airlines
Cloudy,33,Indianapolis International Airport,José Aponte de la Torre Airport,499,180,Breeze Airways
Windy,17,Indianapolis International Airport,Barkley Regional Airport,989,339,Eastern Airlines
Snow Fall,-3,Tallahassee International Airport,New York Stewart International Airport,380,144,Silver Airways
Windy,18,Gillette - Campbell County Airport,Buffalo Niagara International Airport,745,232,Breeze Airways
Sunny,37,Lihue Airport,Baton Rouge Metropolitan Airport (Ryan Field),799,349,Alaska Airlines
Sunny,39,Palm Beach International Airport,Capital Region International Airport (was Lansing Capital City),463,103,Republic Airways
Cloudy,30,Quad City International Airport,Block Island State Airport,830,302,Piedmont Airlines
Sunny,37,Duluth International Airport,Milwaukee Mitchell International Airport,506,380,PSA Airlines
Rainy,30,Portland International Airport,John Glenn Columbus International Airport,390,134,PSA Airlines
Snow Fall,0,Lovell Field,Kenai Municipal Airport,509,284,Delta Air Lines
Snow Fall,-7,University of Illinois - Willard Airport,Owensboro - Daviess County Regional Airport,875,233,SkyWest Airlines
Windy,20,Minot International Airport,Sawyer International Airport,595,355,Sun Country Airlines
Cloudy,34,Spokane International Airport (Geiger Field),Monroe Regional Airport,712,369,Alaska Airlines
Sunny,39,Destin - Fort Walton Beach Airport / Eglin Air Force Base,Oakland International Airport,671,351,Envoy Air
Sunny,39,Antonio Rivera Rodríguez Airport,Branson Airport,412,133,Breeze Airways
Snow Fall,-2,Chicago O'Hare International Airport,Helena Regional Airport,642,257,Envoy Air
Rainy,26,Yampa Valley Airport (Yampa Valley Regional),Southwest Oregon Regional Airport (was North Bend Municipal),396,183,Allegiant Air
Sunny,37,Fort Lauderdale - Hollywood International Airport,Minneapolis - St. Paul International/Wold-Chamberlain Airport,566,379,Cape Air
Sunny,36,Gunnison - Crested Butte Regional Airport,Mahlon Sweet Field,531,345,Southwest Airlines
Cloudy,30,Daytona Beach International Airport,Tyler Pounds Regional Airport,599,314,Air Wisconsin
Windy,21,Mahlon Sweet Field,Tinian International Airport (West Tinian),478,170,Elite Airways
Sunny,39,King Salmon Airport,Austin - Bergstrom International Airport,426,146,Hawaiian Airlines
Cloudy,30,Norman Y. Mineta San José International Airport,Rickenbacker International Airport,683,336,JetBlue
Windy,17,Watertown Regional Airport,Owensboro - Daviess County Regional Airport,412,125,Alaska Airlines
Cloudy,34,Santa Barbara Municipal Airport (Santa Barbara Airport),Dickinson Theodore Roosevelt Regional Airport,733,373,Air Wisconsin
Cloudy,35,Rhode Island T. F. Green International Airport,Henry E. Rohlsen Airport,477,147,PSA Airlines
Cloudy,33,Barkley Regional Airport,Albany International Airport,604,300,Frontier Airlines
Rainy,29,Sheridan County Airport,Houghton County Memorial Airport,634,353,Avelo Airlines
Cloudy,34,Daytona Beach International Airport,Stockton Metropolitan Airport,464,136,Alaska Airlines
Windy,23,Dallas Fort Worth International Airport,Dillingham Airport,966,293,Allegiant Air
Windy,20,John Glenn Columbus International Airport,Springfield - Branson National Airport,504,330,GoJet Airlines
Rainy,28,Long Beach Airport (Daugherty Field),Tweed-New Haven Airport,554,352,Horizon Air
Windy,19,George Bush Intercontinental/Houston Airport,Pensacola International Airport,393,199,Avelo Airlines
Snow Fall,-8,Raleigh - Durham International Airport,Charleston International Airport / Charleston AFB,627,363,GoJet Airlines
Windy,20,Greenville - Spartanburg International Airport (Roger Milliken Field),Veterans Airport of Southern Illinois (Williamson County Regional Airport),720,256,Avelo Airlines
Sunny,39,Chippewa County International Airport,Nome Airport,653,232,SkyWest Airlines
Snow Fall,0,Page Municipal Airport,Gillette - Campbell County Airport,527,326,Southwest Airlines
Rainy,30,Central Wisconsin Airport,Jackson - Medgar Wiley Evers International Airport,964,340,Envoy Air
Cloudy,33,Augusta Regional Airport (Bush Field),Waco Regional Airport,856,215,American Airlines
Rainy,27,Del Rio International Airport,Lehigh Valley International Airport (was Allentown - Bethlehem - Easton International Airport),376,180,JetBlue
Rainy,28,San Luis Obispo County Regional Airport (McChesney Field),Delta County Airport,945,347,Hawaiian Airlines
Cloudy,31,Lawton - Fort Sill Regional Airport,Meadows Field,644,252,CommutAir
Rainy,27,Friday Harbor Airport,Pangborn Memorial Airport,544,381,Allegiant Air
Cloudy,31,Pellston Regional/Emmet County Airport,Destin - Fort Walton Beach Airport / Eglin Air Force Base,309,148,Delta Air Lines
Snow Fall,-8,McAllen Miller International Airport,Bozeman Yellowstone International Airport (was Gallatin Field),677,222,Horizon Air
Sunny,35,Syracuse Hancock International Airport,St. Cloud Regional Airport,947,386,Delta Air Lines
Windy,18,Jack Brooks Regional Airport (was Southeast Texas Regional),Waco Regional Airport,718,210,Sun Country Airlines
Rainy,27,San Antonio International Airport,East Texas Regional Airport,692,335,United Airlines
Windy,25,Harry Reid International Airport,Shenandoah Valley Regional Airport,834,311,Alaska Airlines
Windy,17,Wiley Post - Will Rogers Memorial Airport,Rhode Island T. F. Green International Airport,501,323,SkyWest Airlines
Rainy,30,Southwest Florida International Airport,Lehigh Valley International Airport (was Allentown - Bethlehem - Easton International Airport),742,248,United Airlines
Rainy,25,Kenai Municipal Airport,Klawock Airport (also see Klawock Seaplane Base),477,160,Envoy Air
Rainy,25,Fayetteville Regional Airport (Grannis Field),Elmira/Corning Regional Airport,583,363,Alaska Airlines
Rainy,28,Duluth International Airport,McAllen Miller International Airport,965,345,Avelo Airlines
Rainy,29,Harrisburg International Airport,Portland International Airport,831,300,Avelo Airlines
Rainy,29,Rick Husband Amarillo International Airport,Tweed-New Haven Airport,936,210,United Airlines
Cloudy,31,Pierre Regional Airport,Charleston International Airport / Charleston AFB,493,131,Republic Airways
Cloudy,32,Daniel K. Inouye International Airport,Chicago Midway International Airport,562,356,Mesa Airlines
Cloudy,31,Roanoke - Blacksburg Regional Airport (Woodrum Field),Salina Regional Airport,777,259,Allegiant Air
Snow Fall,-8,La Crosse Regional Airport,Tulsa International Airport,356,139,Spirit Airlines
Windy,18,City of Colorado Springs Municipal Airport,Wilkes-Barre/Scranton International Airport,409,113,Republic Airways
Rainy,25,Abilene Regional Airport,Bozeman Yellowstone International Airport (was Gallatin Field),428,140,Avelo Airlines
Windy,18,Shenandoah Valley Regional Airport,Southwest Florida International Airport,656,387,Piedmont Airlines
